user1 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-033 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-034 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-035 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-036 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-037 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-038 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-039 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-040 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-041 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-042 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-043 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-044 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-045 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-046 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-047 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-048 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-049 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-050 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-004 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-009 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-012 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-013 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-015 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-016 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-017 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-018 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-019 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-020 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-021 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-022 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-023 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-024 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-025 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-026 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-027 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-028 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-029 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-030 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-031 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-032 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-033 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-034 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-035 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-036 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-037 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-038 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-002 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-007 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-011 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-005 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-014 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-010 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-003 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-003 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-002 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-001 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-004 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-039 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-040 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-041 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-042 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-043 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-044 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-045 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-046 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-047 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-048 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-049 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN78-050 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-001 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-002 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-003 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-004 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-005 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-006 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-007 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-008 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-009 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-010 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-011 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-012 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-013 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-014 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-015 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-016 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-017 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-018 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-019 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-020 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-021 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-022 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-023 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-024 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-025 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-026 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-027 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-028 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-029 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-030 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-031 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-032 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-033 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-034 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-035 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-036 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-037 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-038 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-039 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-040 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-041 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-042 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-043 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-044 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-045 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-046 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-047 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-048 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
HN911-049 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-002 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-003 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-006 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-008 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-016 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-019 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-022 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-026 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-013 ; 9;-1;-1;1;11;2;1;8;-1;3;5;7;5;9; = 58
YA78-012 ; 9;1;-1;1;9;2;1;10;-1;3;5;6;3;9; = 57
YA78-001 ; 9; ;-1;1;2;1; ;8;-1;3;1;2;1;4; = 30
YA78-007 ; 9;1;-1;1;2; ; ;8;-1;1;2;1;5;4; = 32
HN911-050 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-024 ; 5;1;-1;-1;-1;-1;-1;2;-1;-1;-1;1;5;-1; = 5
YA78-023 ; 5;1;-1;-1;8; ;1;4; ;1; ;1;3; ; = 22
YA78-017 ; 3;1;-1;1;13;-1;-1;4;-1;3;3;6;5;5; = 40
YA78-015 ; 5;1;-1;1;6;2;1;3;-1;1; ;1;3; ; = 22
YA78-020 ; 5;1;-1;1;4;2;1;1;-1;-1;3;5;5; ; = 25
YA78-009 ; 9;1;1;1;7;-1;-1;7;-1;-1;4;6;5;12; = 49
YA78-010 ; 9;1;-1;1;15;2;1;10;-1;-1;1; ; ; ; = 37
YA78-005 ; 9;1;1;1;12;4;1;10;-1;3;5;5;5;12; = 68
YA78-004 ; 9;1;1;1;10;2;1;-1;-1;1;2;3;2;10; = 41
YA78-028 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-029 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-030 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-031 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-032 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-033 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-034 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
